"year","AL.sd","member","model"
2005,1.69551023119585,"LE2-1131.007","FCM"
2006,1.6820549553096,"LE2-1131.007","FCM"
2007,1.31596107890026,"LE2-1131.007","FCM"
2008,0.417914288956156,"LE2-1131.007","FCM"
2009,0.562478413380979,"LE2-1131.007","FCM"
2010,0.29588615391365,"LE2-1131.007","FCM"
2011,-0.682731920691905,"LE2-1131.007","FCM"
2012,-0.100349625798202,"LE2-1131.007","FCM"
2013,0.176670378505501,"LE2-1131.007","FCM"
2014,0.165424218893985,"LE2-1131.007","FCM"
1964,0.032469972851865,"LE2-1151.008","FCM"
1965,0.730372200723939,"LE2-1151.008","FCM"
1966,-0.131804801669399,"LE2-1151.008","FCM"
1967,-0.132694262175251,"LE2-1151.008","FCM"
1968,-0.331737486385277,"LE2-1151.008","FCM"
1969,-0.322640524903972,"LE2-1151.008","FCM"
1970,0.442419329038472,"LE2-1151.008","FCM"
1971,-0.125638389305719,"LE2-1151.008","FCM"
1972,-0.41334061146057,"LE2-1151.008","FCM"
1973,-0.403139192328325,"LE2-1151.008","FCM"
1974,-0.410072050461847,"LE2-1151.008","FCM"
1975,-0.39211647751494,"LE2-1151.008","FCM"
1976,-0.351758551604052,"LE2-1151.008","FCM"
1977,-0.550343851061665,"LE2-1151.008","FCM"
1978,-0.701799886733384,"LE2-1151.008","FCM"
1979,-0.326395896954927,"LE2-1151.008","FCM"
1980,-1.16848150517692,"LE2-1151.008","FCM"
1981,-0.579705566173033,"LE2-1151.008","FCM"
1982,0.729585752631867,"LE2-1151.008","FCM"
1983,0.780881679813887,"LE2-1151.008","FCM"
1984,0.755130856509008,"LE2-1151.008","FCM"
1985,0.673233262345835,"LE2-1151.008","FCM"
1986,0.720235023839813,"LE2-1151.008","FCM"
1987,0.54570872057106,"LE2-1151.008","FCM"
1988,0.539605366131034,"LE2-1151.008","FCM"
1989,0.849575170364202,"LE2-1151.008","FCM"
1990,0.929006858771698,"LE2-1151.008","FCM"
1991,1.25588815493074,"LE2-1151.008","FCM"
1992,1.53923207244762,"LE2-1151.008","FCM"
1993,1.36518271756238,"LE2-1151.008","FCM"
1994,1.04040045515313,"LE2-1151.008","FCM"
1995,0.909336216818772,"LE2-1151.008","FCM"
1996,0.664874208011482,"LE2-1151.008","FCM"
1997,0.294861700884399,"LE2-1151.008","FCM"
1998,0.575291104574233,"LE2-1151.008","FCM"
1999,0.741833623374437,"LE2-1151.008","FCM"
2000,1.65491969311928,"LE2-1151.008","FCM"
2001,1.27736482272428,"LE2-1151.008","FCM"
2002,1.18403289745963,"LE2-1151.008","FCM"
2003,1.24251942147089,"LE2-1151.008","FCM"
2004,1.23651391824682,"LE2-1151.008","FCM"
2005,1.18571107634735,"LE2-1151.008","FCM"
2006,0.74386223293757,"LE2-1151.008","FCM"
2007,0.252156378059582,"LE2-1151.008","FCM"
2008,0.438318721874758,"LE2-1151.008","FCM"
2009,0.514002744647649,"LE2-1151.008","FCM"
2010,0.341926485014069,"LE2-1151.008","FCM"
2011,-0.153455805782555,"LE2-1151.008","FCM"
2012,-0.606467427421262,"LE2-1151.008","FCM"
2013,-1.24148282346994,"LE2-1151.008","FCM"
2014,-0.755770018903631,"LE2-1151.008","FCM"
1964,-1.0383517648618,"LE2-1171.009","FCM"
1965,-1.07080643888744,"LE2-1171.009","FCM"
1966,-0.99787592326712,"LE2-1171.009","FCM"
1967,-0.941032951153785,"LE2-1171.009","FCM"
1968,-0.904589995890881,"LE2-1171.009","FCM"
1969,-1.22212183048052,"LE2-1171.009","FCM"
1970,-1.64577416670543,"LE2-1171.009","FCM"
1971,-0.557826170941685,"LE2-1171.009","FCM"
1972,-0.156082408888517,"LE2-1171.009","FCM"
1973,-0.061225456092944,"LE2-1171.009","FCM"
1974,-0.0628393490565854,"LE2-1171.009","FCM"
1975,0.472125605438216,"LE2-1171.009","FCM"
1976,0.510935949248671,"LE2-1171.009","FCM"
1977,0.614638722736871,"LE2-1171.009","FCM"
1978,0.626039311403124,"LE2-1171.009","FCM"
1979,0.903372099979835,"LE2-1171.009","FCM"
1980,1.00946488889626,"LE2-1171.009","FCM"
1981,1.00396505411931,"LE2-1171.009","FCM"
1982,1.62228126785378,"LE2-1171.009","FCM"
1983,2.31563139273938,"LE2-1171.009","FCM"
1984,2.72657983473589,"LE2-1171.009","FCM"
