"year","GOA.ar1","EBS.ar1","member","model"
1995,0.0362313283254062,0.0398655469966068,"LE2-1301.014","FCM"
1996,0.0859803485876754,0.265872459671598,"LE2-1301.014","FCM"
1997,0.188565445936679,0.56449826877746,"LE2-1301.014","FCM"
1998,0.305792478969344,0.712286120343218,"LE2-1301.014","FCM"
1999,0.478151197539879,0.737738846164795,"LE2-1301.014","FCM"
2000,0.510356148597191,0.740873485019364,"LE2-1301.014","FCM"
2001,0.486655088389707,0.728934868820262,"LE2-1301.014","FCM"
2002,0.468845485102136,0.713263666779924,"LE2-1301.014","FCM"
2003,0.460879712920762,0.672863423482109,"LE2-1301.014","FCM"
2004,0.518609824425359,0.678878472270977,"LE2-1301.014","FCM"
2005,0.401655814961385,0.606817235837695,"LE2-1301.014","FCM"
2006,0.405126578317362,0.592548971505408,"LE2-1301.014","FCM"
2007,0.384694397766235,0.545098997465255,"LE2-1301.014","FCM"
2008,0.318185709181842,0.45098318518926,"LE2-1301.014","FCM"
2009,0.284803800564499,0.500709507961984,"LE2-1301.014","FCM"
2010,0.241970506152584,0.397874171977978,"LE2-1301.014","FCM"
2011,0.258296972613393,0.370217541344397,"LE2-1301.014","FCM"
2012,0.387257772461316,0.377335621580318,"LE2-1301.014","FCM"
2013,0.35028929655865,0.335958453708699,"LE2-1301.014","FCM"
2014,0.481398070758507,0.389830120430473,"LE2-1301.014","FCM"
1964,0.295458405077768,0.400365169870425,"LE2-1301.015","FCM"
1965,0.370885547642197,0.377227594009906,"LE2-1301.015","FCM"
1966,0.311416345862498,0.238207209401531,"LE2-1301.015","FCM"
1967,-0.00115850247541455,-0.0375476229895908,"LE2-1301.015","FCM"
1968,0.0068704906739519,0.0308904285826906,"LE2-1301.015","FCM"
1969,0.106831209739736,0.0711125242289502,"LE2-1301.015","FCM"
1970,0.116518038108582,0.181871295536792,"LE2-1301.015","FCM"
1971,0.201446638240617,0.339113841624416,"LE2-1301.015","FCM"
1972,0.406100584988664,0.386708281996141,"LE2-1301.015","FCM"
1973,0.473252636445682,0.364319207955104,"LE2-1301.015","FCM"
1974,0.556521009726191,0.441345624651203,"LE2-1301.015","FCM"
1975,0.580937707658962,0.488575034413401,"LE2-1301.015","FCM"
1976,0.543588484833921,0.386481467628495,"LE2-1301.015","FCM"
1977,0.570258726657078,0.35822575734599,"LE2-1301.015","FCM"
1978,0.528416474171277,0.470287782711531,"LE2-1301.015","FCM"
1979,0.573825416199022,0.537574671276047,"LE2-1301.015","FCM"
1980,0.697016574966879,0.57312959403503,"LE2-1301.015","FCM"
1981,0.754371090865187,0.550165269592797,"LE2-1301.015","FCM"
1982,0.831324588114801,0.579533488822287,"LE2-1301.015","FCM"
1983,0.841005314960221,0.608755499647121,"LE2-1301.015","FCM"
1984,0.818539814128427,0.59164411135361,"LE2-1301.015","FCM"
1985,0.744618699991052,0.501514945691267,"LE2-1301.015","FCM"
1986,0.733656015590927,0.518341711562297,"LE2-1301.015","FCM"
1987,0.650832690373604,0.527477229587136,"LE2-1301.015","FCM"
1988,0.531942515319483,0.520200707789038,"LE2-1301.015","FCM"
1989,0.53508443479488,0.490523333607727,"LE2-1301.015","FCM"
1990,0.631500975838585,0.593291819553801,"LE2-1301.015","FCM"
1991,0.685251942766275,0.535893591444698,"LE2-1301.015","FCM"
1992,0.623973329255447,0.326934005726856,"LE2-1301.015","FCM"
1993,0.478436712219941,0.108810003346924,"LE2-1301.015","FCM"
1994,0.268348513967358,-0.176374196275759,"LE2-1301.015","FCM"
1995,0.0999713424637209,-0.142062966575337,"LE2-1301.015","FCM"
1996,0.0635744655773994,-0.0247604338064638,"LE2-1301.015","FCM"
1997,0.193858048537017,0.245449163782227,"LE2-1301.015","FCM"
1998,0.368569760177186,0.332673087665617,"LE2-1301.015","FCM"
1999,0.326950590882302,0.231023204251665,"LE2-1301.015","FCM"
