"year","AL.anom","member","model"
2004,-530.789204905246,"LE2-1031.002","FCM"
2005,180.207590414039,"LE2-1031.002","FCM"
2006,-1059.94197653499,"LE2-1031.002","FCM"
2007,-658.717379377531,"LE2-1031.002","FCM"
2008,-181.152150761094,"LE2-1031.002","FCM"
2009,-191.016833428852,"LE2-1031.002","FCM"
2010,946.290172738905,"LE2-1031.002","FCM"
2011,-890.218501091426,"LE2-1031.002","FCM"
2012,-466.107049415241,"LE2-1031.002","FCM"
2013,327.717420887148,"LE2-1031.002","FCM"
2014,-252.806924583715,"LE2-1031.002","FCM"
1851,-276.006129642693,"LE2-1051.003","FCM"
1852,770.784585005445,"LE2-1051.003","FCM"
1853,520.859293877279,"LE2-1051.003","FCM"
1854,-525.980484377287,"LE2-1051.003","FCM"
1855,-929.893530014251,"LE2-1051.003","FCM"
1856,1265.40877451479,"LE2-1051.003","FCM"
1857,60.3991296256575,"LE2-1051.003","FCM"
1858,118.29601721898,"LE2-1051.003","FCM"
1859,-720.379277121044,"LE2-1051.003","FCM"
1860,595.670482782991,"LE2-1051.003","FCM"
1861,-132.784721379626,"LE2-1051.003","FCM"
1862,771.439627205981,"LE2-1051.003","FCM"
1863,-552.985318972295,"LE2-1051.003","FCM"
1864,-340.429363986634,"LE2-1051.003","FCM"
1865,-137.274046236839,"LE2-1051.003","FCM"
1866,1050.88071335797,"LE2-1051.003","FCM"
1867,471.435983531594,"LE2-1051.003","FCM"
1868,401.406243421762,"LE2-1051.003","FCM"
1869,47.4947892009179,"LE2-1051.003","FCM"
1870,387.091135769807,"LE2-1051.003","FCM"
1871,-71.1084436050328,"LE2-1051.003","FCM"
1872,-211.355042194442,"LE2-1051.003","FCM"
1873,162.932886756768,"LE2-1051.003","FCM"
1874,-583.61492728492,"LE2-1051.003","FCM"
1875,557.935157652711,"LE2-1051.003","FCM"
1876,-412.237207237004,"LE2-1051.003","FCM"
1877,-177.420707209877,"LE2-1051.003","FCM"
1878,-34.7868721961602,"LE2-1051.003","FCM"
1879,-355.076725830683,"LE2-1051.003","FCM"
1880,-498.461262697892,"LE2-1051.003","FCM"
1881,34.0656480809758,"LE2-1051.003","FCM"
1882,-11.8803964936361,"LE2-1051.003","FCM"
1883,-313.873477426264,"LE2-1051.003","FCM"
1884,384.455251416811,"LE2-1051.003","FCM"
1885,-113.536263992833,"LE2-1051.003","FCM"
1886,-99.6345173816301,"LE2-1051.003","FCM"
1887,708.577011476993,"LE2-1051.003","FCM"
1888,-295.286262299473,"LE2-1051.003","FCM"
1889,569.619977080192,"LE2-1051.003","FCM"
1890,327.798122693334,"LE2-1051.003","FCM"
1891,217.082770829051,"LE2-1051.003","FCM"
1892,-78.2495692468725,"LE2-1051.003","FCM"
1893,317.525000418057,"LE2-1051.003","FCM"
1894,217.309290293019,"LE2-1051.003","FCM"
1895,-101.365713160655,"LE2-1051.003","FCM"
1896,1329.30615241012,"LE2-1051.003","FCM"
1897,163.659784377719,"LE2-1051.003","FCM"
1898,92.5280157801136,"LE2-1051.003","FCM"
1899,-872.748364299959,"LE2-1051.003","FCM"
1900,-521.862197352479,"LE2-1051.003","FCM"
1901,-464.323728467553,"LE2-1051.003","FCM"
1902,923.44453569322,"LE2-1051.003","FCM"
1903,437.363300267055,"LE2-1051.003","FCM"
1904,-668.560892832544,"LE2-1051.003","FCM"
1905,-120.365720185638,"LE2-1051.003","FCM"
1906,256.479929878922,"LE2-1051.003","FCM"
1907,-153.521932392893,"LE2-1051.003","FCM"
1908,-1013.83197782956,"LE2-1051.003","FCM"
1909,312.030353578091,"LE2-1051.003","FCM"
1910,407.241929626337,"LE2-1051.003","FCM"
1911,609.138627626438,"LE2-1051.003","FCM"
1912,525.069547875414,"LE2-1051.003","FCM"
1913,-868.553547917832,"LE2-1051.003","FCM"
1914,-49.5363912829198,"LE2-1051.003","FCM"
1915,111.277019536986,"LE2-1051.003","FCM"
1916,-813.15905642945,"LE2-1051.003","FCM"
1917,582.285660010652,"LE2-1051.003","FCM"
1918,528.372947559622,"LE2-1051.003","FCM"
1919,-98.0782894147515,"LE2-1051.003","FCM"
1920,-503.845308523811,"LE2-1051.003","FCM"
1921,359.64631433982,"LE2-1051.003","FCM"
1922,1016.61654608856,"LE2-1051.003","FCM"
1923,765.271005703609,"LE2-1051.003","FCM"
1924,-414.580867176451,"LE2-1051.003","FCM"
