"year","AL.sd","member","model"
1996,488.515656545814,"LE2-1231.011","FCM"
1997,382.913470376373,"LE2-1231.011","FCM"
1998,438.548736899184,"LE2-1231.011","FCM"
1999,460.790375632326,"LE2-1231.011","FCM"
2000,469.888377795609,"LE2-1231.011","FCM"
2001,491.973077055591,"LE2-1231.011","FCM"
2002,490.432080654671,"LE2-1231.011","FCM"
2003,589.134192813538,"LE2-1231.011","FCM"
2004,592.961753490862,"LE2-1231.011","FCM"
2005,598.395651041162,"LE2-1231.011","FCM"
2006,570.646293976522,"LE2-1231.011","FCM"
2007,566.288371315898,"LE2-1231.011","FCM"
2008,550.643004435141,"LE2-1231.011","FCM"
2009,531.29265899895,"LE2-1231.011","FCM"
2010,546.610196549196,"LE2-1231.011","FCM"
