"lon","lat","ar1.e1","ar1.e2","diff","variable"
191.75,64.75,-0.681458168667525,0.520986008917085,1.20244417758461,"SST"
192,64.75,-0.681267948845151,0.496545639399009,1.17781358824416,"SST"
192.25,64.75,-0.677960420460789,0.44651070824615,1.12447112870694,"SST"
192.5,64.75,-0.671918239419909,0.391899626306214,1.06381786572612,"SST"
192.75,64.75,-0.637547262521697,0.37936287347089,1.01691013599259,"SST"
193,64.75,-0.587982974037665,0.369107728166963,0.957090702204628,"SST"
193.25,64.75,-0.561707268416385,0.365750558326721,0.927457826743106,"SST"
198.5,64.75,0.15137517188144,0.737680414160222,0.586305242278782,"SST"
198.75,64.75,0.134891606021521,0.744575828123926,0.609684222102405,"SST"
199,64.75,0.115468320375165,0.747599100464745,0.63213078008958,"SST"
174.25,64.5,0.833478013685808,0.833021542583801,-0.000456471102006528,"SST"
174.5,64.5,0.833478013685808,0.833021542583801,-0.000456471102006528,"SST"
177.25,64.5,0.547012067777229,0.409563992504521,-0.137448075272708,"SST"
